country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption,opposite_of_crime_index,adjusted_net_national_income,current_account_balance,gdp_per_capita,population_growth,fixed_broadband_subscriptions,secure_internet_servers,consumer_price_index,"inflation,_consumer_prices",access_to_electricity,forest_area,land_area,population_density,urban_population
Austria,1.4859233998697114,1.2387773850220245,0.9282721562728984,1.0688400907179663,0.7276772765782081,0.552911132773351,1.3709743049979797,2.2591712671187993,-0.020653307645007155,0.5131841954759759,1.4293215317550598,-0.6981426827998842,0.8177418180559192,0.28578609926601534,1.1216435086540228,1.1573800623852466,0.5525109136520151,0.6394804415031694,-0.2969180931062821,-0.1701644088737997,-0.0987198331403893
Australia,1.4850001361475396,1.1650059024808777,1.064394530935954,1.0574590854855102,1.0922933981972058,1.3406497080652144,1.4654053076067413,1.1124303965406799,0.4139699974336453,0.6068421660831695,1.5619525714263685,0.12595701204302798,1.263257516888411,0.387161835396972,1.1208394206205594,1.1552477226317004,0.5525109136520151,-0.5909432268206279,4.057011472618284,-0.22227247778486123,1.0414494564326213
Ireland,1.3732852257647847,1.7099629831880574,0.9318543240271889,1.0972926037991069,0.7551954744362457,0.5165539677598804,1.9926450721723263,0.9498279174649947,-0.1120325676314927,0.07198880271926543,3.0094826050040506,-0.10953354921658275,0.9350031123592384,1.6732709676823758,1.13067191424714,1.1663380806292316,0.5525109136520151,-0.8413039051383718,-0.30471677370038497,-0.18792185077328558,0.1046966861683663
Germany,1.3668223797095833,1.2221193083191846,0.6524452391924968,1.0802210959504224,0.4662543969268513,0.18933948263864475,1.5991825613024866,1.587124730616471,1.84988791084194,1.0806901524743482,1.329109209836058,-1.0148487409141593,1.7608979243863043,1.3637935514507016,1.125445911225507,1.1491285725406473,0.5525109136520151,0.03860112415522362,-0.14422873849569562,-0.10549151077622901,0.6770000432449876
Canada,1.3585130062100401,1.1316897490751985,1.0106620146215894,1.120054614264019,0.9753410573005461,0.8437684528811159,1.6778750634764545,1.18717508450289,0.618020721792789,0.10698050234031486,1.200649377247695,0.0023680799967560253,1.6755407702406062,0.38809772078720595,1.1225381385501683,1.143597870649597,0.5525109136520151,0.2865820670088525,4.785710346002848,-0.22182347107690809,0.8474054413774393
United States,1.3141963475458065,1.3601433724284269,0.9891690080958438,0.23802670874866413,0.390579352817248,0.8801256178945865,0.17484827195366592,0.7990272312254476,11.335096504127579,-0.022322029095134074,2.0564228264156514,-0.17958877432338474,1.3242326727666676,2.0962402382360192,1.1208426972574475,1.115033303180942,0.5525109136520151,0.08741091877348912,4.8897480637156665,-0.2059013214205406,0.8931067674280508
United Kingdom,1.282805380991974,1.0864749694532057,0.8494644656784979,0.9322680279284918,0.548808990500964,1.7163404132044107,1.3709743049979797,0.9131112286414528,0.0,0.007801774039819981,1.1063089470373433,-0.5554727634707466,1.565164466230698,0.32938784183539654,1.121107003623012,1.162824633232723,0.5525109136520151,-0.7656580812486486,-0.20570843254091603,-0.08568397047891106,0.9444896557916693
Czech Republic,1.261570315382029,0.9627292568035403,1.2685780929305368,0.7331004363605083,0.9822206067650555,0.12874420761619368,-0.8402850060905211,2.260482577433926,-0.12735266868432868,0.7043071476892907,0.32872390260510903,-0.8614457464901976,1.2780077089201236,0.8576406837046034,1.1205230659673577,1.1338476449817283,0.5525109136520151,0.12083878560716968,-0.29996203887008455,-0.1549792102191435,0.5363295369258647
Belgium,1.1553949873323026,1.1816639791837174,0.7169242587697336,1.0119350645556853,-0.1735437032725213,-1.192232787873239,0.3873180278233795,1.0108038471183767,0.028897234872856416,0.3960687450854455,1.2841781067669427,-0.6367342459751464,1.6040795041856604,0.1233750050124715,1.1230000890017722,1.1645376881466516,0.5525109136520151,-0.3705580529985228,-0.32680826729820683,-0.03422108259419512,1.53238620578574
France,1.0464498681160623,1.0769560684801545,1.1217092150046089,1.2623171796697217,0.34242250656568224,-0.9377326327789446,0.8752115413019813,0.5249633753640102,1.1575838820145263,0.09703306336893247,1.01956385374689,-0.9076388956702806,2.0048697925866064,0.32679303943790927,1.1283583854523802,1.182034239446131,0.5525109136520151,-0.009847629991371572,-0.030837753602260144,-0.1627010056367599,0.8230618130728032
